AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
121,-110,35,-20,112,91,0
97,-101,65,-46,97,64,0
81,-43,75,-56,73,48,0
122,-118,45,-27,113,100,0
106,-68,63,-44,106,67,0
117,-113,71,-51,101,97,0
103,-65,98,-83,91,58,0
122,-111,42,-25,109,90,0
122,-112,47,-30,115,101,0
114,-116,20,-8,116,97,0
111,-113,92,-75,107,73,0
104,-71,58,-39,96,76,0
109,-72,56,-37,104,63,0
95,-72,41,-25,104,82,0
110,-112,44,-27,113,99,0
81,-68,43,-26,95,69,0
102,-52,94,-77,91,109,0
109,-114,52,-34,108,83,0
123,-122,87,-69,118,102,0
96,-60,53,-34,94,74,0
121,-118,62,-43,116,82,0
111,-55,47,-29,94,60,0
106,-70,51,-32,99,79,0
108,-75,58,-39,102,86,0
117,-111,84,-65,106,72,0
120,-112,45,-28,111,91,0
120,-111,34,-18,109,79,0
107,-69,55,-37,99,78,0
121,-119,58,-39,116,89,0
121,-115,44,-27,111,80,0
121,-119,46,-29,118,92,0
123,-116,37,-21,113,81,0
107,-74,69,-50,106,79,0
88,-56,24,-11,86,71,0
126,-121,64,-45,124,91,0
100,-64,50,-32,96,78,0
117,-117,101,-87,107,83,0
103,-67,57,-38,88,71,0
125,-125,86,-68,118,112,0
118,-116,103,-89,107,69,0
113,-113,40,-23,104,74,0
120,-116,78,-59,111,76,0
123,-119,50,-31,119,95,0
83,-46,79,-61,75,49,0
85,-47,67,-47,85,48,0
114,-113,107,-95,95,82,0
99,-59,57,-38,92,65,0
111,-107,78,-59,103,90,0
96,-57,48,-30,93,73,0
126,-123,61,-42,123,101,0
121,-113,96,-80,110,95,0
114,-107,64,-44,102,74,0
125,-122,97,-81,118,89,0
90,-55,72,-52,87,62,0
113,-75,40,-23,109,99,0
106,-62,65,-46,96,65,0
121,-112,50,-31,111,101,0
108,-68,125,-123,88,51,0
122,-120,78,-59,114,94,0
103,-64,81,-62,91,75,0
97,-70,99,-84,92,53,0
97,-61,54,-35,93,71,0
105,-67,56,-37,103,63,0
103,-70,52,-34,97,69,0
75,-76,56,-38,84,78,0
122,-119,61,-42,117,83,0
59,-72,58,-39,77,78,0
120,-117,52,-34,111,102,0
104,-107,67,-48,98,84,0
101,-66,56,-37,98,69,0
106,-71,45,-27,101,80,0
106,-70,70,-51,101,75,0
125,-125,81,-63,117,105,0
94,-56,59,-40,88,50,0
